City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
17,Martinsburg,US,83.3,overcast clouds,39.4562,-77.9639,"Holiday Inn Martinsburg, an IHG Hotel"
23,Butaritari,KI,81.64,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
27,Rasht,IR,80.42,broken clouds,37.2808,49.5832,Travellers Camping
31,Xiamen,CN,81.99,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
35,Karapyshi,UA,83.91,scattered clouds,49.6424,30.79,Zolotyy Kolos
38,Ponta Do Sol,PT,84.7,clear sky,32.6667,-17.1,Hotel do Campo
41,Shimoda,JP,80.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
50,Yanam,IN,82.6,overcast clouds,16.7333,82.2167,The Regency Hotel
52,Lewiston,US,83.71,few clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
53,Puyang,CN,81.36,broken clouds,29.4603,119.8861,Xianhua Sandalwood Celebrity Hotel
74,Bethel,US,84.45,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
77,Korla,CN,84.02,overcast clouds,41.7597,86.1469,Gulisitan Hotel
78,San Andres,CO,81.82,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
94,Huilong,CN,83.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
97,Pervomayskoye,RU,82.9,clear sky,43.919,46.7102,
100,Wenling,CN,81.52,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
107,Varangaon,IN,81.63,overcast clouds,21.0167,75.9,Pramod Tawade
115,Sinnamary,GF,82.78,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
122,Fukue,JP,82.78,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
132,Asfi,MA,83.01,clear sky,32.2994,-9.2372,Hôtel Abda
137,Saint-Georges,GD,80.85,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
143,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
147,Hasaki,JP,82.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
151,Lillooet,CA,82.24,clear sky,50.6856,-121.942,Hotel Victoria
153,Belmonte,BR,80.06,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
156,Touros,BR,82.69,few clouds,-5.1989,-35.4608,INN NEW HORIZON
157,Salinopolis,BR,81.43,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
204,Trairi,BR,83.97,scattered clouds,-3.2778,-39.2689,janelas do mar
207,Luau,AO,81.39,clear sky,-10.7073,22.2247,Kimbo Hotel
212,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
215,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
235,Ano Mera,GR,84.94,clear sky,37.45,25.4,Hotel La Résidence Mykonos
245,Taraz,KZ,81.01,broken clouds,42.9,71.3667,Comfort Inn
256,San Carlos,VE,82.65,broken clouds,9.6612,-68.5827,Hotel Paternopoli
261,Marzuq,YE,81.09,light rain,14.4,46.4667,
264,Palmer,US,83.86,broken clouds,42.1584,-72.3287,Wedgewood Motel
269,Porbandar,IN,82.2,broken clouds,21.6422,69.6093,Lords Inn Porbandar
286,Novouzensk,RU,80.37,few clouds,50.4592,48.1431,Gostinichnyy Domik
288,Looc,PH,80.13,heavy intensity rain,12.2605,121.9926,Cummings Highlands
297,Champerico,GT,82.18,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
307,Lorengau,PG,81.37,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
309,Tutoia,BR,82.58,scattered clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
313,Saint George,US,82.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
314,Lewistown,US,83.61,clear sky,40.5992,-77.5714,Quality Inn & Suites
324,Gat,IL,84.81,few clouds,31.61,34.7642,OlusHome
331,Shasta Lake,US,82.81,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
335,Shitanjing,CN,80.37,few clouds,39.2342,106.3439,Yingbin Hotel
341,Douglas,US,80.53,broken clouds,41.3,-96.167,Hilton Garden Inn Omaha West
347,Kasongo,CD,80.01,light rain,-4.45,26.6667,Guest Hôtel
356,Samastipur,IN,82.71,moderate rain,25.85,85.7833,Hotel Madanlok
361,Port Blair,IN,82.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
377,Vajszlo,HU,82.29,broken clouds,45.8596,17.9841,Lázár Vendégház
378,Xinyu,CN,80.62,few clouds,27.8043,114.9334,Xinyu Beihu Hotel
394,Jalingo,NG,81.36,light rain,8.8833,11.3667,Debright Motel
409,Wajima,JP,81.19,broken clouds,37.4,136.9,Wajiima Onsen Yashio
441,Sedona,US,80.38,clear sky,34.8697,-111.761,Amara Resort and Spa
442,Kavieng,PG,81.7,light rain,-2.5744,150.7967,Nusa Island Retreat
450,Nueva Loja,EC,81.0,moderate rain,0.0847,-76.8828,Limoncocha Great Hotel
459,Arrecife,ES,82.38,few clouds,28.963,-13.5477,Hotel Lancelot
461,San Jose Del Guaviare,CO,83.43,broken clouds,2.5729,-72.6459,Hotel Aeropuerto
462,La Asuncion,VE,82.26,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
465,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
470,Nizwa,OM,82.22,moderate rain,22.9333,57.5333,Orient Apartments
476,Troy,US,83.55,scattered clouds,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
477,Gotsu,JP,81.57,overcast clouds,35.0,132.2167,Yurusato
495,Pavagada,IN,83.35,overcast clouds,14.1,77.2667,HOTEL GAYATHRI COMFORTS
500,Wajir,KE,84.31,overcast clouds,1.7471,40.0573,Mahatallah Hotel
502,Puerto Plata,DO,84.11,broken clouds,19.7934,-70.6884,Be Live Collection Marien
508,Sao Joao De Pirabas,BR,80.69,broken clouds,-0.7747,-47.1772,POUSADA SOL E MAR
515,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
523,Beatrice,US,80.19,scattered clouds,40.2681,-96.747,Victorian Inn Beatrice
540,Cururupu,BR,82.74,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
541,Komsomolskiy,UZ,84.92,overcast clouds,40.4272,71.7189,Ikathouse
544,Marsh Harbour,BS,83.8,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
547,Aleksandrov Gay,RU,83.89,scattered clouds,50.147,48.5704,Gostinitsa
551,Hondo,JP,82.67,overcast clouds,32.45,130.2,ホテル河丁
556,Ouallam,NE,81.9,overcast clouds,14.3188,2.0866,
566,Damietta,EG,81.43,clear sky,31.4165,31.8133,SULIMAN INN
